bioproject	biosample	sra_accession	genome_accession	genome_name
PRJNA354635	SAMN06049518	SRR5124212	MN780842	Murine astrovirus JS1
PRJNA415307	SAMN07821415	SRR6216941	MN780843	Murine mitovirus-like virus JS1
PRJNA415307	SAMN07821417	SRR6216939	MN780844	Murine mitovirus-like virus JS2
PRJNA354635	SAMN06049531	SRR5124216	MN780845	Murine mitovirus-like virus JS3
PRJNA354635	SAMN06049530	SRR5124214	MN780846	Murine mitovirus-like virus JS4
PRJNA415307	SAMN07821419	SRR6216945	MN780847	Murine mitovirus-like virus JS5
